#Returns a data frame with the initial values (I), theta estimates (T)
#Log likelihoods (L), sigma (S), and alpha (A)

#Total time to run about 3 minutes (w/ 50 points)

$spg
            I        T        L         S        A
V28 2.2489796 4.235734 9.805223  2.6893013 16.708110
V29 2.3285714 4.235734 9.805223 -2.6042669 16.179800
V30 2.4081633 4.235734 9.805223 -2.5396889 15.778588
V31 2.4877551 4.235734 9.805223 -2.4881103 15.458142
V32 2.5673469 4.235734 9.805223 -2.4577332 15.269415
V33 2.6469388 4.235734 9.805223 -2.5286148 15.709788
V34 2.7265306 4.235734 9.805223  2.3673727 14.708039
V35 2.8061224 4.235734 9.805223  3.2126392 19.959508
V36 2.8857143 4.235734 9.805223 -2.2328614 13.872328
V37 2.9653061 4.235734 9.805223 -2.2589634 14.034497
V38 3.0448980 4.235734 9.805223 -2.1353137 13.266284
V39 3.1244898 4.235734 9.805223 -2.0900397 12.985013
V40 3.2040816 4.235734 9.805223 -2.0561895 12.774703
V41 3.2836735 4.235734 9.805223 -2.0517842 12.747335
